kind	file	line_no	line_text
login_host	reference_bash/codex_native/codex_lane_dispatch.sh	3	# node from a Claude session that lives on login009, and refuses fast when it
oscar_path	reference_bash/codex_native/codex_lane_dispatch.sh	7	#   /oscar/data/stellex/glvov/agrescap/canonical/tools/codex_native/codex_lane_dispatch.sh \
username	reference_bash/codex_native/codex_lane_dispatch.sh	7	#   /oscar/data/stellex/glvov/agrescap/canonical/tools/codex_native/codex_lane_dispatch.sh \
slurm_call	reference_bash/codex_native/codex_lane_dispatch.sh	26	#   directly. No node wrapper, no cache patch, no per-dispatch `srun`.
oscar_path	reference_bash/codex_native/codex_lane_dispatch.sh	33	ENDPOINT="${CODEX_FLEET_ENDPOINT:-/oscar/data/stellex/glvov/agrescap/evidence/codex_fleet/endpoint.json}"
username	reference_bash/codex_native/codex_lane_dispatch.sh	33	ENDPOINT="${CODEX_FLEET_ENDPOINT:-/oscar/data/stellex/glvov/agrescap/evidence/codex_fleet/endpoint.json}"
oscar_path	reference_bash/codex_native/codex_lane_dispatch.sh	34	FLEET="${CODEX_FLEET_SH:-/oscar/data/stellex/glvov/agrescap/canonical/tools/codex_surface/codex_fleet.sh}"
username	reference_bash/codex_native/codex_lane_dispatch.sh	34	FLEET="${CODEX_FLEET_SH:-/oscar/data/stellex/glvov/agrescap/canonical/tools/codex_surface/codex_fleet.sh}"
home_path	reference_bash/codex_native/guard_test.sh	19	#   /users/glvov/.claude/agents/architect.md            -> name description model color
username	reference_bash/codex_native/guard_test.sh	19	#   /users/glvov/.claude/agents/architect.md            -> name description model color
slurm_call	reference_bash/codex_native/guard_test.sh	68	for needle in 'resume-last' 'codex-companion' 'plugins/cache' '--jobid' 'srun --overlap'; do
oscar_path	reference_bash/codex_native/guard_test.sh	79	FLEET=/oscar/data/stellex/glvov/agrescap/canonical/tools/codex_surface/codex_fleet.sh
username	reference_bash/codex_native/guard_test.sh	79	FLEET=/oscar/data/stellex/glvov/agrescap/canonical/tools/codex_surface/codex_fleet.sh
slurm_call	reference_bash/codex_surface/codex_fleet.sh	31	#                          srun --overlap) is what lets a daemon reparent to
oscar_path	reference_bash/codex_surface/codex_fleet.sh	104	/oscar/*|/gpfs/*|"$HOME"/*) die "--home is on NFS ($HOME_DIR); codex SQLite does not survive NFS locking" ;;
gpfs_path	reference_bash/codex_surface/codex_fleet.sh	104	/oscar/*|/gpfs/*|"$HOME"/*) die "--home is on NFS ($HOME_DIR); codex SQLite does not survive NFS locking" ;;
login_host	reference_bash/codex_surface/codex_fleet_serve.sh	3	# the compute node. Claude stays on login009 and never runs codex there.
login_host	reference_bash/codex_surface/codex_fleet_serve.sh	20	#   --ws-token-file`, but a token file good enough to publish to login009 has to
slurm_call	reference_bash/codex_surface/codex_fleet_serve.sh	26	#   (srun --overlap reaps detached children; ssh does not).
oscar_path	reference_bash/codex_surface/codex_fleet_serve.sh	31	ENDPOINT_DEFAULT=/oscar/data/stellex/glvov/agrescap/evidence/codex_fleet/endpoint.json
username	reference_bash/codex_surface/codex_fleet_serve.sh	31	ENDPOINT_DEFAULT=/oscar/data/stellex/glvov/agrescap/evidence/codex_fleet/endpoint.json
oscar_path	reference_bash/codex_surface/codex_fleet_serve.sh	48	/oscar/*|/gpfs/*|"$HOME"/*) die "CODEX_HOME $HOME_DIR is on NFS; codex SQLite does not survive NFS locking" ;;
